clock.orig.s,354,5343
clock.pp.s,352,5285
double.orig.s,51,694
double.pp.s,51,694
fcyc.orig.s,507,8053
fcyc.pp.s,496,7732
Fibonacci.orig.s,448,7619
Fibonacci.pp.s,442,7469
play.orig.s,254,3530
play.pp.s,254,3530
replicated.orig.s,75,1069
replicated.pp.s,75,1069
rosetta.orig.s,867,13565
rosetta.pp.s,850,13119
