clock.orig.s,354,5343
clock.pp.s,352,5261
double.orig.s,51,694
double.pp.s,51,694
fcyc.orig.s,507,8053
fcyc.pp.s,495,7653
Fibonacci.orig.s,448,7619
Fibonacci.pp.s,441,7388
play.orig.s,254,3530
play.pp.s,254,3530
replicated.orig.s,75,1069
replicated.pp.s,70,947
rosetta.orig.s,867,13565
rosetta.pp.s,849,12979
